mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,364,37,49,305,0.8615819209039548,0.09226932668329177,0.9499102848007347
best_f1,0.4738062266611174,364,37,47,307,0.867231638418079,0.09226932668329177,0.9499102848007347
target_recall_0.90,0.29940280763499316,341,60,35,319,0.9011299435028248,0.14962593516209477,0.9499102848007347
target_recall_0.95,0.09671039610894641,282,119,17,337,0.9519774011299436,0.2967581047381546,0.9499102848007347
target_recall_0.98,0.04042544608707788,222,179,7,347,0.980225988700565,0.4463840399002494,0.9499102848007347
