mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,397,4,68,286,0.807909604519774,0.00997506234413965,0.9851530046227642
best_f1,0.006418671712634966,380,21,22,332,0.9378531073446328,0.05236907730673317,0.9851530046227642
target_recall_0.90,0.04463752708485582,391,10,34,320,0.903954802259887,0.02493765586034913,0.9851530046227642
target_recall_0.95,0.0016785372541054118,369,32,17,337,0.9519774011299436,0.0798004987531172,0.9851530046227642
target_recall_0.98,0.00035049488639317194,334,67,7,347,0.980225988700565,0.16708229426433915,0.9851530046227642
