mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,395,6,20,334,0.943502824858757,0.014962593516209476,0.9960907140526023
best_f1,0.026846405333033882,385,16,7,347,0.980225988700565,0.0399002493765586,0.9960907140526023
target_recall_0.90,0.80152289928957,400,1,27,327,0.923728813559322,0.0024937655860349127,0.9960907140526023
target_recall_0.95,0.34682173352249146,393,8,17,337,0.9519774011299436,0.0199501246882793,0.9960907140526023
target_recall_0.98,0.026846405333033882,385,16,7,347,0.980225988700565,0.0399002493765586,0.9960907140526023
