mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,369,32,44,310,0.8757062146892656,0.0798004987531172,0.9662658737197253
best_f1,0.2749673274946137,352,49,28,326,0.9209039548022598,0.12219451371571072,0.9662658737197253
target_recall_0.90,0.36431778013067945,356,45,34,320,0.903954802259887,0.11221945137157108,0.9662658737197253
target_recall_0.95,0.13785328375420028,311,90,16,338,0.9548022598870056,0.22443890274314215,0.9662658737197253
target_recall_0.98,0.049679364947263396,249,152,7,347,0.980225988700565,0.3790523690773067,0.9662658737197253
