mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,385,16,20,334,0.943502824858757,0.0399002493765586,0.9919444237206139
best_f1,0.7231295935600205,394,7,25,329,0.9293785310734464,0.017456359102244388,0.9919444237206139
target_recall_0.90,0.8330209905777363,398,3,33,321,0.9067796610169492,0.007481296758104738,0.9919444237206139
target_recall_0.95,0.3778956236496554,378,23,15,339,0.9576271186440678,0.057356608478802994,0.9919444237206139
target_recall_0.98,0.12435536407206613,348,53,7,347,0.980225988700565,0.13216957605985039,0.9919444237206139
