mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,388,13,78,276,0.7796610169491526,0.032418952618453865,0.9637283066247885
best_f1,0.14810754675781318,364,37,30,324,0.9152542372881356,0.09226932668329177,0.9637283066247885
target_recall_0.90,0.16522586501659375,367,34,34,320,0.903954802259887,0.08478802992518704,0.9637283066247885
target_recall_0.95,0.0679786878221956,341,60,16,338,0.9548022598870056,0.14962593516209477,0.9637283066247885
target_recall_0.98,0.00971203463554102,201,200,7,347,0.980225988700565,0.49875311720698257,0.9637283066247885
