mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,384,17,61,293,0.827683615819209,0.04239401496259352,0.970496809695362
best_f1,0.14396465949954806,360,41,21,333,0.940677966101695,0.10224438902743142,0.970496809695362
target_recall_0.90,0.25021002732038355,369,32,35,319,0.9011299435028248,0.0798004987531172,0.970496809695362
target_recall_0.95,0.09216405684808882,344,57,17,337,0.9519774011299436,0.14214463840399003,0.970496809695362
target_recall_0.98,0.026307894323923765,286,115,7,347,0.980225988700565,0.286783042394015,0.970496809695362
