mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,386,15,32,322,0.9096045197740112,0.03740648379052369,0.980527258007477
best_f1,0.2747220631638614,375,26,22,332,0.9378531073446328,0.06483790523690773,0.980527258007477
target_recall_0.90,0.5129546673857263,387,14,34,320,0.903954802259887,0.034912718204488775,0.980527258007477
target_recall_0.95,0.14996536875982422,355,46,17,337,0.9519774011299436,0.11471321695760599,0.980527258007477
target_recall_0.98,0.014156905031676778,252,149,7,347,0.980225988700565,0.371571072319202,0.980527258007477
