mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,386,15,29,325,0.9180790960451978,0.03740648379052369,0.9827873159972156
best_f1,0.30703801243266915,378,23,14,340,0.96045197740113,0.057356608478802994,0.9827873159972156
target_recall_0.90,0.546666519258787,389,12,33,321,0.9067796610169492,0.029925187032418952,0.9827873159972156
target_recall_0.95,0.31600708148185913,379,22,16,338,0.9548022598870056,0.05486284289276808,0.9827873159972156
target_recall_0.98,0.0973019690769198,344,57,7,347,0.980225988700565,0.14214463840399003,0.9827873159972156
