mode,threshold,tn,fp,fn,tp,recall_bad,false_positive_rate,pr_auc
fixed_0.50,0.5,384,17,59,295,0.8333333333333334,0.04239401496259352,0.9744490290851728
best_f1,0.11012766516861834,373,28,26,328,0.9265536723163842,0.06982543640897755,0.9744490290851728
target_recall_0.90,0.18607599706666958,378,23,35,319,0.9011299435028248,0.057356608478802994,0.9744490290851728
target_recall_0.95,0.055178363575888074,350,51,17,337,0.9519774011299436,0.12718204488778054,0.9744490290851728
target_recall_0.98,0.0160012766648229,310,91,7,347,0.980225988700565,0.22693266832917705,0.9744490290851728
