experiment,views,threshold,recall_bad,false_positive_rate,pr_auc,tn,fp,fn,tp,run_dir
barlight_01_03,barlight,0.7231295935600205,0.9293785310734464,0.017456359102244388,0.9919444237206139,394,7,25,329,runs/ablation/barlight_01_03
all_01_02_03_04,all,0.006418671712634966,0.9378531073446328,0.05236907730673317,0.9851530046227642,380,21,22,332,runs/ablation/all_01_02_03_04
toplight_02_04,toplight,0.30703801243266915,0.96045197740113,0.057356608478802994,0.9827873159972156,378,23,14,340,runs/ablation/toplight_02_04
03_back_barlight,03,0.2747220631638614,0.9378531073446328,0.06483790523690773,0.980527258007477,375,26,22,332,runs/ablation/03_back_barlight
back_03_04,back,0.11012766516861834,0.9265536723163842,0.06982543640897755,0.9744490290851728,373,28,26,328,runs/ablation/back_03_04
front_01_02,front,0.14396465949954806,0.940677966101695,0.10224438902743142,0.970496809695362,360,41,21,333,runs/ablation/front_01_02
01_front_barlight,01,0.2749673274946137,0.9209039548022598,0.12219451371571072,0.9662658737197253,352,49,28,326,runs/ablation/01_front_barlight
04_back_toplight,04,0.14810754675781318,0.9152542372881356,0.09226932668329177,0.9637283066247885,364,37,30,324,runs/ablation/04_back_toplight
02_front_toplight,02,0.4738062266611174,0.867231638418079,0.09226932668329177,0.9499102848007347,364,37,47,307,runs/ablation/02_front_toplight
